Recorded Date,"Optionally, please describe any setup required in the room (as seen in the pictures) before you could play your game. Specifically, please list which objects your game uses and where in the room they need to be to play your game:



Please use the specific names for the items as provided in the table above.","Please describe a game you could play in this room:



Please use the specific names for the items as provided in the table above.","Please explain the scoring system for your game:



Please use the specific names for the items as provided in the table above.",How hard would you think your game is?,What do you imagine you would score on the first time playing your game?,"Please tell us, in a few sentences, about the strategy you used to create games. What did you consider? How did you go about it?",Did you have any technical difficulties while completing the experiment?,Do you have any questions or comments for us?
12/8/2020 18:34:55,"2 dodgeballs, hexagonal bin, 2 chairs ","
insert the dodgeballs into the hexagonal bin, and then use the chair to move and make more dificult to insert the balls.",each basket is worth 2 points,Easy,10,mainly objects and creativity,not really,put some different objects
12/8/2020 18:39:09,"I think for this one, I would only use the 6 cube blocks, by sitting on the desk and bushing the computers away, leaving as much free space as possible.","So, I would try to balance as many cube blocks as possible on top of one another BUT actually by doing so on their points, so that the first one is balancing on its point or edge, and the next one in the same manner but on top",Every cube you are able to balance is counted as a point,Very Hard,1 maybe,"I thought about something easy to achieve, I don't like moving a lot of stuff around just to pass the time",Not at all,no
12/8/2020 18:40:49,Place the hexagon bin roughly a meter away from the wall.,Throw one of the dodgeballs against the wall with the intention of it landing in the hexagon bin. Use the alarm clock to set a timer for 60 seconds. ,"In the 60 seconds provided, record in your head how many times you managed to land the dodgeball in the hexagon bin. Reward yourself one point for every time it lands in the bin.  ",Easy,14,I looked at the objects provided and thought what I would do in each situation. ,No.,No.
12/8/2020 18:45:01,"Set up, in the room's open space, the curved wooden ramp to be directly facing the hexagonal bin. Place the dodgeball roughly 1 metre away from the base of the curved wooden ramp. Use the textbook to mark a distance for the dodgeball.","Attempt to kick the dodgeball into the hexagonal bin, using the ramp as a way to lift the ball. Do this 10 times.","Count how many times, out of 10, you manage to get the dodgeball into the hexagonal bin.",Hard,3,"I mainly considered what I think I would find fun and challenging when using some of the items available in the room. All my games involved some kind of physics-oriented solution so there is always room to learn and improve ones knowledge of how the items in use interact with one another, as well as the player.",No,No
12/8/2020 18:45:43,attention to time,trick shots to the difrent objects in the room,fewer shots to complete better the score,Medium,6/10,I consider a lot the room in question and remind me of games already created in same spot,No,"No
"
12/8/2020 19:04:56,"The curved wooden ramp is placed in the center of the room and so is the hexagonal bin, next to it.","The goal in this game is to get the dodgeballs to go through the curved wooden ramp into the hexagonal bin, like bowling with a twist.","Everytime the player scores the dodgeball into the hexagonal bin, wins 5 points.",Very Easy,5,I tried to create simple and easy games that are also fun and help to pass the time. ,Not really.,"No, thank you."
12/8/2020 19:14:10,"curved wooden ramp, hexagonal bin, 2 dodgeballs",Place curved wooden ramp and at the end of it place hexagonal bin. Roll 2 dodgeballs on the curved wooden ramp and make it fall inside the hexagonal bin.,5 rounds- 5 points for each dodgeball that gets in the hexagonal bin,Medium,10,I triend using common sence and imagine what would I actually do if I was in those specific situations described. ,No,No
12/8/2020 19:30:26,"Textbook, laptop, cellphone and doggie bed. ","The game consists of throwing objects on the doggie bed. You have three objects to throw a textbook, laptop and a cellphone. Landing any of the aforementioned objects on the bed gives you points; 15 points the cellphone, 10 the textbook and 5 the laptop.","Landing the cellphone on the bed gives you 15 points, the textbook 10 points and the laptop 5 points.",Very Easy,30 points,"I just took into account the fun factor, being easy to do and accessibility.",No,No
12/8/2020 20:49:23,"2 chairs,pillow,doggie bed, bed", you have to hit the 2 chairs with the doggie bed and the pillow while sitting on the bed,"20 score each pillow or doggie bed hit the 2chairs 10 times in a row
 ",Very Easy,20,just looked at the items and imagined whatever simple things could be done,No,No
12/8/2020 21:03:13,,"Your objective would be to find out who you are and get out of the room. Only some objects are interactive and provide information or move the quest forward. First your character wakes up in a bed and checks the alarm clock. The character will have a commentary and provide information what to do next after each interaction with an object. The character checks the nightstand and looks below the pillow. After this they can move forward. Two dodgeballs must be dropped on the curved wooden ramp, the player must look into the hexagonal bin, read the textbook, sit on the chair, insert the CD into the laptop, check the mug and pick up the cellphone, after this the player may proceed into the next area.","Each interaction with these objects gives a point: alarm clock, nightstand, pillow, 2 dodgeballs, curved wooden ramp, hexagonal bin, textbook, chair, CD, laptop, mug, cellphone. Other objects are interactive, but not scored. ",Easy,13,I wanted the player to search the room for objects which will provide the clues to the solution of a simple puzzle or a quest objective. The player must apply the information corretly in order to 'win' the game. These games would probably be most suited for children.,None.,None.
