,index,id,timestamp,scene,game_setup,game_gameplay,game_scoring,game_difficulty,game_firstTimeScore,gameScore_score,gameScore_thoughts,debrief_strategy,debrief_difficulties,debrief_questions,debrief_external_aids
0,0,qSbsQv2jOptuDovotsIE,2021-11-09 15:42:14.716000+00:00,medium_objects,No setup needed.,"To play my game, you will use the building blocks on the shelf, to build as high of a tower as possible. You can play it safe and use less blocks, but for less points, or a higher tower for more points. When you have built as high as you dare, you will place yourself on the far side of the room with the red dodgeball. Then, you will throw the ball at the tower and try to knock down as many blocks as you can.","To score my game, you will get 1 point for each block you use to build the tower. If your tower falls over while building you will get -1 points. Additionally, you will get 1 point for each block you manage to knock over with the dodgeball in phase 2.",2,5,6,"It was a lot more difficult to stack the blocks than I thought. I would change the rule that you lose if the tower falls, to you getting -1 point every time it falls instead.","Since you were very much limited by the objects in the room, as well as a fairly limited control scheme, I tried to do something simple and easy to score. Using the building blocks to build a tower is a very simple idea, though it's a bit more challenging to do in the game than in real life. Once I had the idea of using more blocks to build higher = more points, I also wanted something to punish you if you built to greedy and to high. Thus, I first just made a rule that made you lose if your tower fell over while building. Playing the game myself however, I found it rather hard using the games physics to stack a stable tower, so I changed the rule to give -1 points every time your tower fell instead. Finally, once your tower was built, it's always fun to knock stuff over. So, using the red dodgeball, I gave bonus points for each block you managed to knock over in a single throw.",The frame rate could get low at times., It would have been nice to be able to simply drop an item you've picked up instead of just throwing it. Even just left clicking without holding it down still throws the item with some force.,No.
1,1,SdpyTxFIhhYu7wNwmHFa,2021-11-09 15:38:30.625000+00:00,medium_objects,"The player should move basketball, beachball and dodgeball closer to the door. It is not obligatory but would make playing the game more comfortable.","The player stands next to the door facing the room. He has three balls - basketball, beachball and dodgeball - next to him, as well as dogbed and bin in the opposite corners of the room. The game is about trying to throw each ball in either the dogbed or bin to try to get the most points.","If the ball was succesfully thrown into the bin, this would give 3 points. If the ball was thrown into the dogbed, this gives the player 2 points, but if the ball stops on the corner of the dogbed - that gives 1 point. If the ball which the player succesfully threw was basketball, it gives additionally 1 point, if beachball - 2 points, if dodgeball - 3 points. The score of each throw consists of points received from succesfully throwing into specific item plus the points that gives the specific ball. Final game score consists of points from each throw and range from 0 to 15 points. ",2,7 points,4 points,I think it is interesting but requires practice to unserstand how hard you need to throw to succeed!,I considered the games I like playing myself - something that is easy to understand and also pulls you in and makes you want to play more and more until you get the best score.,I did not have any technical difficulties!,I found this study to be one of the most interesting I've ever done!,I used pen and paper to write down the items I need and also to plan the score system.
2,2,PJ2WCWCLedT8sDLrvn49,2021-11-08 21:55:19.879000+00:00,medium_objects,,"The pieces on the shelf between the two Windows must be stacked in such a way as to create a kind of castle. You have to create two equal castles, the colors are not important but if you choose certain colors points are added. To create each castle you have to follow this order of pieces (from bottom to top): - bridge - flat piece - long cylinder - square - pyramid. ","For each castle built in the correct order will be awarded 10 points,
If the castles follow this order of colors points will be awarded:
first castle: green bridge, flat yellow piece, yellow long cylinder, green square and orange pyramid. Second castle: bridge color wood, flat gray piece, long cylinder color wood, blue cylinder and red pyramid. If 3 of the pieces have the correct color order (in the corresponding village) 5 points per castle will be awarded, if 4 colors are good it will be 7 points per castle and if all colors are good, 10 points per castle. The maximum score is 40 points.",1,40,0,In real life this game would be very easy (that's why I thought I would get the maximum score) but here it's more complex because stacking the pieces without them falling is quite difficult. In the rules I put that it did not matter which cylinder to use but really only the long ones can be used.,"I just looked at what was in the room and decided on something simple, typical child's play. In order to add some extra punctuation I decided to put an order of colors. ","Yes, the page broke and I had to redo it.",No,Print on a piece of paper the shape of the castle to make sure I don't leave any pieces or colors.
3,3,GLPtcvJUaHkUYK7iEPRq,2021-11-08 21:14:13.145000+00:00,medium_objects,,"The pieces on the shelf between the two windows must be stacked in such a way as to create a kind of castle. You have to create two equal castles, the colors are not important but if you choose certain colors points are added.

To create each castle you have to follow this order of pieces (from bottom to top):
- Bridge
- Flat piece
- Cylinder
- Square
- Pyramid","For each castle built in the correct order of pieces will be awarded 10 points.

If the castles follow this order of colors extra points will be awarded:

First castle:
- Green bridge
- Glat yellow piece
- Yellow cylinder
- Green square
- Orange pyramid

Second castle:
- Bridge color wood
- Flat gray piece
- Cylinder color wood
- Blue cylinder
- Red pyramid

If 3 of the pieces have the correct color order (in the corresponding village) 5 points per castle will be awarded, if 4 colors are good it will be 7 points per castle and if all colors are good, 10 points per castle. The maximum score is 40 points.",0,40,0 ,In real life this game would be very easy (that's why I thought I would get the maximum score) but here it's more complex because stacking the pieces without them falling is quite difficult.,,,,
4,4,yWwOhJSjWiuzNkkHzhft,2021-11-08 21:10:48.702000+00:00,few_objects,"closed blinds
the curved ramp with the square boxes on the side
the bin after the ramp",roll the dodge ball onto the bin across the ramp with the cube blocks around to direct the ball onto the ramp to the bin,if a ball enters the box its a point,3,maybe 1 point in 5 tries,0,its too complicated i couldnt play well,tried to move the objects to where I needed to put them,"the objects were hard to move around
I couldn't align them properly for the game to work perfectly",none,took screenshot
5,6,5DOVQT0dE9jCRwYHvIx6,2021-11-08 16:54:14.336000+00:00,few_objects,"First the bin should be turned upside down and placed on the side of the bed; Subsequently, the cubeblocks must be placed in a pyramidal way on top of the bin.",The game that can be played is to use the dodgeball to throw the objectives placed on top of the bin (cubeblocks); all this must be done sitting from the chair at the other end of the room; being two dodgeballs there are only two chances to achieve the most points.,"The scoring system consists in that each cubeblock that falls through the dodgeball will be equal to 1 point (6 cubeblocks equal 6 points); With only two dodgeballs, you only have 2 chances to get points; In case of throwing the 6 cubeblocks on the first shot, they must be replaced to get more points with the last dodgeball.",2,6,5,Nothing to add.,"The strategy I used was to observe around the room the objects at my disposal, in this way to identify those that could be useful to serve as a game. What I considered was that the game should be simple but challenging, addictive and above all enjoyable.",The controls on the platform were a little clunky to position the objects as I envisioned them in my mind.,No question or comment to add.,I did not use any external aid to carry out the task.
6,8,oevKPEL8LXqT4gswKdMK,2021-11-08 16:02:34.927000+00:00,medium_objects,,"Player has to throw dodgeballballs, basketball and beachball into the bin. Player has to stand on the carpet.",Every scored ball is 1 point. Every 3 balls scored in a row are 1 extra poiunt for the player. Player has 10 throws.,1,3,2 points,My game is really hard because the physics in the game is crazy.,,,,
7,9,Q9FPLgdunp3o75RFGEU7,2021-11-08 15:58:09.085000+00:00,many_objects,you put the small ramp towards the center of the room about 1 meter away from the bin facing it,"you roll the golf balls and the dodgeballs towards the small ramp aiming to put them in the bin.
you sit down in front of the door and try to use the correct amount of power and aim precisely so that the balls go off the ramp into the air and then into the bin",dodgeballs count as 3 points and golfballs count as 6.,3,6,0,,"I like simple games, especially when I play alone. The most important thing in a single player game is that it's challenging so i thought of a way to use the balls and bin so that the more you play the game the better you become.",It was lagging a lot.,No,I took notes to remember the names of objects
8,12,gZ8ce0O2anOHAMWWJJZw,2021-11-04 20:23:20.848000+00:00,medium_objects,You put the bin in the midle of the room and prepare the dodgeball and the wooden ramp.,You position the wooden ramp in different ways depending. Then You have to throw the ball at it and it should bounce into the bin. ,"Each ""wooden ramp"" position You make You have 5 tries, if You get it right You get a point. Each game You choose 5 different Ramp positions. So the maximum of Points is 5. One for each Ramp possition",4,1,I scored 1,It is a lot harder when I'm not used to the game physics.,"Use a game people are familiar with using objects in the game. Throwing a ball into something to score is a known game, but hard in a game engine. Its also a game I used to play a a kid a lot in my own room. ",I accidentally turned off the browser using a key combination on my keyboard using ctrl+something.,"Not really, but the bin is very buggy if You pick it up too close. ",Not really. But I had like 3 tries in the quiz.
9,14,rTVvF1dBAKE8juHCF69f,2021-11-04 20:13:03.030000+00:00,many_objects,No preparation required,"Play a game of tower building using colored blocks. Your objective is to build highest possible tower that is stable, starting with any single block and ending with any pyramid block. No other block then first one is allowed to touch floor or walls or any non block objects in the room.",Your score is number of blocks in tower including first and last (pyramid block),4,4,5,The game would be much easier but low precision of controls and wonky physics increase difficulty significantly ,I tried to find game that would allow for straightforward rules without much ambiguity and preparation needed and would have simple scoring system. Tower building seemed like best fit.,Controls were somewhat imprecise which made testing (and then playing) game much harder,none,no
