source,key,n_prefs,fitness,n_prefs_source
model,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,37.46364974975586,1_model
model,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0)",1,36.99384689331055,1_model
model,"(1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0)",1,35.89914321899414,1_model
model,"(1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",1,37.1580924987793,1_model
model,"(1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",1,37.3451042175293,1_model
model,"(1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,37.552852630615234,1_model
model,"(1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0)",1,36.77920150756836,1_model
model,"(1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0)",1,35.18087387084961,1_model
model,"(1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0)",1,35.8655891418457,1_model
model,"(1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0)",1,34.98372268676758,1_model
model,"(1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,36.892704010009766,2_model
model,"(1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,36.973445892333984,2_model
model,"(1, 1, 3, 1, 0, 0, 0, 1, 0, 0, 0, 1)",3,35.6538200378418,3_model
model,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1)",1,35.70259475708008,1_model
model,"(1, 1, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0)",2,36.5358772277832,2_model
model,"(1, 1, 3, 1, 0, 0, 0, 0, 0, 1, 0, 1)",3,35.311466217041016,3_model
model,"(1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0)",1,37.32376480102539,1_model
model,"(1, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 1)",3,36.02085494995117,3_model
model,"(1, 1, 3, 1, 0, 0, 0, 2, 0, 0, 0, 0)",3,35.5493049621582,3_model
model,"(1, 1, 3, 0, 0, 0, 0, 0, 0, 1, 0, 1)",3,35.404056549072266,3_model
model,"(1, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0)",2,36.922000885009766,2_model
model,"(1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1)",3,35.92025375366211,3_model
model,"(1, 0, 3, 1, 0, 0, 0, 2, 0, 0, 0, 0)",3,35.4725227355957,3_model
model,"(1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 1)",3,35.45222854614258,3_model
model,"(1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,36.87712478637695,3_model
model,"(1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0)",2,36.91487503051758,2_model
model,"(1, 1, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0)",2,36.58346176147461,2_model
model,"(1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1)",3,35.65151596069336,3_model
model,"(1, 1, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0)",2,37.080684661865234,2_model
model,"(1, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0)",3,37.214847564697266,3_model
model,"(1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0)",1,37.20962905883789,1_model
model,"(1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0)",1,37.35451126098633,1_model
model,"(1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0)",2,36.55746078491211,2_model
model,"(1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,37.14609146118164,2_model
model,"(1, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1)",2,35.141178131103516,2_model
model,"(1, 1, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0)",2,35.570980072021484,2_model
model,"(1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0)",2,36.93502426147461,2_model
