game_type,game_id,node_count,full_game_id
real,"(1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0)",131,"(1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0)-real"
real,"(1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0)",173,"(1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0)-real"
real,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0)",27,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0)-real"
real,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0)",65,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0)-real"
real,"(1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0)",200,"(1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0)-real"
real,"(1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0)",210,"(1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0)",222,"(1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0)",98,"(1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 1, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0)",150,"(1, 1, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0)-real"
real,"(1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0)",87,"(1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0)-real"
real,"(1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0)",129,"(1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0)-real"
real,"(1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0)",107,"(1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0)",234,"(1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0)",122,"(1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0)",53,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0)-real"
real,"(1, 0, 3, 1, 0, 1, 0, 0, 0, 0, 1, 0)",302,"(1, 0, 3, 1, 0, 1, 0, 0, 0, 0, 1, 0)-real"
real,"(1, 1, 3, 0, 0, 0, 0, 0, 1, 1, 0, 0)",190,"(1, 1, 3, 0, 0, 0, 0, 0, 1, 1, 0, 0)-real"
real,"(1, 0, 4, 0, 0, 2, 0, 0, 0, 0, 1, 0)",326,"(1, 0, 4, 0, 0, 2, 0, 0, 0, 0, 1, 0)-real"
real,"(1, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0)",304,"(1, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0)",105,"(1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0)-real"
real,"(1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0)",260,"(1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0)",238,"(1, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0)",30,"(1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0)-real"
real,"(1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0)",160,"(1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 0, 4, 2, 0, 0, 0, 0, 0, 0, 1, 0)",330,"(1, 0, 4, 2, 0, 0, 0, 0, 0, 0, 1, 0)-real"
real,"(1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0)",46,"(1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0)-real"
real,"(1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0)",225,"(1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0)-real"
real,"(1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0)",139,"(1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0)-real"
real,"(1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0)",119,"(1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0)-real"
real,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0)",66,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0)-real"
real,"(1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0)",56,"(1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0)",147,"(1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",174,"(1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0)",168,"(1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0)-real"
real,"(1, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0)",199,"(1, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1)",201,"(1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1)-real"
real,"(1, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0)",153,"(1, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0)",115,"(1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0)",182,"(1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0)-real"
real,"(1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",67,"(1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0)",52,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0)-real"
real,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",94,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 1, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0)",106,"(1, 1, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0)-real"
real,"(1, 1, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0)",100,"(1, 1, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0)-real"
real,"(1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",80,"(1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0)",107,"(1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0)-real"
real,"(1, 0, 3, 0, 0, 0, 0, 0, 2, 1, 0, 0)",319,"(1, 0, 3, 0, 0, 0, 0, 0, 2, 1, 0, 0)-real"
real,"(1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0)",107,"(1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0)-real"
