,trace_id,domain,arg_1_id,arg_2_id,bit_count(intervals)
0,1El1CmicSoKZKTLe8NpP-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,306
1,1El1CmicSoKZKTLe8NpP-gameplay-attempt-2-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,2
2,1El1CmicSoKZKTLe8NpP-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,891
3,3JgBMLuR3hhyXX7duXxU-createGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,1600
4,3JgBMLuR3hhyXX7duXxU-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,2170
5,3JgBMLuR3hhyXX7duXxU-gameplay-attempt-2-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,2236
6,3JgBMLuR3hhyXX7duXxU-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,978
7,4WUtnD8W6PGVy0WBtVm4-createGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,1846
8,4WUtnD8W6PGVy0WBtVm4-editGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,954
9,4WUtnD8W6PGVy0WBtVm4-freePlay-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,235
10,4WUtnD8W6PGVy0WBtVm4-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,3726
11,4WUtnD8W6PGVy0WBtVm4-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,1392
12,50OkWutbBlKsEJPMGbKu-gameplay-attempt-4-rerecorded,few,GarbageCan|+00.95|-00.03|-02.68,Bed|-02.46|00.00|-00.57,3
13,50OkWutbBlKsEJPMGbKu-preCreateGame-rerecorded,few,CurvedRamp|-03.05|00.00|-02.78,Bed|-02.46|00.00|-00.57,1
14,5IuRnM4sMvHnyLOcBIuC-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,423
15,5IuRnM4sMvHnyLOcBIuC-gameplay-attempt-2-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,1893
16,5IuRnM4sMvHnyLOcBIuC-gameplay-attempt-3-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,447
17,5IuRnM4sMvHnyLOcBIuC-gameplay-attempt-4-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,311
18,5IuRnM4sMvHnyLOcBIuC-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,1220
19,5lTRHBueXsaOu9yhvOQo-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,24
20,5lTRHBueXsaOu9yhvOQo-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,326
21,730QTwZ02OR88CPpsmSI-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,946
22,730QTwZ02OR88CPpsmSI-gameplay-attempt-2-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,989
23,730QTwZ02OR88CPpsmSI-gameplay-attempt-4-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,1491
24,730QTwZ02OR88CPpsmSI-gameplay-attempt-5-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,251
25,730QTwZ02OR88CPpsmSI-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,502
26,730QTwZ02OR88CPpsmSI-preCreateGame-rerecorded,medium,TeddyBear|-02.60|+00.60|-00.42,Bed|-02.46|00.00|-00.57,22
27,730QTwZ02OR88CPpsmSI-preCreateGame-rerecorded,medium,BasketBall|-02.58|+00.12|-01.93,Bed|-02.46|00.00|-00.57,3
28,9C0wMm4lzrJ5JeP0irIu-preCreateGame-rerecorded,few,Dodgeball|-02.97|+01.29|-02.28,Bed|-02.46|00.00|-00.57,2
29,9C0wMm4lzrJ5JeP0irIu-preCreateGame-rerecorded,few,Dodgeball|-02.97|+01.29|-02.28,Bed|-02.46|00.00|-00.57,2
30,9kyHjMMQRK3eP9vlLpw0-editGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,14
31,9kyHjMMQRK3eP9vlLpw0-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,977
32,9kyHjMMQRK3eP9vlLpw0-gameplay-attempt-2-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,3293
33,9kyHjMMQRK3eP9vlLpw0-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,2670
34,9kyHjMMQRK3eP9vlLpw0-preCreateGame-rerecorded,medium,GarbageCan|-02.79|-00.03|-02.67,Bed|-02.46|00.00|-00.57,70
35,9kyHjMMQRK3eP9vlLpw0-preCreateGame-rerecorded,medium,building_6,Bed|-02.46|00.00|-00.57,287
36,9ntGYoDdUca5ZsjyHXdm-gameplay-attempt-1-rerecorded,many,CurvedRamp|-00.25|00.00|-02.98,Bed|-02.46|00.00|-00.57,196
37,9ntGYoDdUca5ZsjyHXdm-gameplay-attempt-1-rerecorded,many,building_2,Bed|-02.46|00.00|-00.57,194
38,9ntGYoDdUca5ZsjyHXdm-gameplay-attempt-1-rerecorded,many,building_4,Bed|-02.46|00.00|-00.57,12
39,B02vfA7ZpP1xhDyqeYVd-preCreateGame-rerecorded,few,Pillow|-02.45|+00.66|+00.10,Bed|-02.46|00.00|-00.57,109
40,EB9bKJMBxNqVaRtrXDuO-createGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,1038
41,EB9bKJMBxNqVaRtrXDuO-createGame-rerecorded,medium,SmallSlide|-00.97|+00.20|-03.02,Bed|-02.46|00.00|-00.57,7
42,EB9bKJMBxNqVaRtrXDuO-createGame-rerecorded,medium,building_0,Bed|-02.46|00.00|-00.57,358
43,EB9bKJMBxNqVaRtrXDuO-createGame-rerecorded,medium,Chair|+02.73|00.00|-01.21,Bed|-02.46|00.00|-00.57,4
44,EB9bKJMBxNqVaRtrXDuO-createGame-rerecorded,medium,SmallSlide|-00.97|+00.20|-03.02,Bed|-02.46|00.00|-00.57,7
45,EB9bKJMBxNqVaRtrXDuO-editGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,229
46,EB9bKJMBxNqVaRtrXDuO-freePlay-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,1576
47,EB9bKJMBxNqVaRtrXDuO-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,6000
48,EB9bKJMBxNqVaRtrXDuO-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,410
49,F2XpXd2PeEcqSIqbg1Pm-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,420
50,F2XpXd2PeEcqSIqbg1Pm-gameplay-attempt-1-rerecorded,medium,building_2,Bed|-02.46|00.00|-00.57,231
51,F2XpXd2PeEcqSIqbg1Pm-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,1178
52,FDEjFQ4l4RicsJzAe2BG-freePlay-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,16
53,FDEjFQ4l4RicsJzAe2BG-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,2399
54,FDEjFQ4l4RicsJzAe2BG-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,511
55,GF4TTr6H2CftJ4nrR8oj-createGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,1117
56,GF4TTr6H2CftJ4nrR8oj-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,1536
57,GF4TTr6H2CftJ4nrR8oj-gameplay-attempt-2-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,1272
58,GF4TTr6H2CftJ4nrR8oj-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,1350
59,GLPtcvJUaHkUYK7iEPRq-createGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,4863
60,GLPtcvJUaHkUYK7iEPRq-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,3382
61,GLPtcvJUaHkUYK7iEPRq-gameplay-attempt-2-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,3852
62,GLPtcvJUaHkUYK7iEPRq-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,665
63,IjyNuz4ApTldgPuoKPtB-createGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,386
64,IjyNuz4ApTldgPuoKPtB-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,45
