Feature                                                         	  Mean Rank	1 Regrowth | No Regularization  	1 Regrowth | L2 Regularization  	1-4 Regrowths | No Regularization  	1-4 Regrowths | L2 Regularization
ast_ngram_full_n_5_score                                        	       1   	-32.346 (1)                     	-11.943 (1)                     	-35.749 (1)                        	-12.786 (1)
ast_ngram_constraints_n_5_score                                 	       2   	-22.234 (2)                     	-8.244 (2)                      	-25.761 (2)                        	-9.324 (2)
predicate_found_in_data_prop                                    	       3.5 	-8.860 (4)                      	-3.460 (3)                      	-9.346 (4)                         	-3.741 (3)
ast_ngram_setup_n_5_score                                       	       3.5 	-9.882 (3)                      	-3.363 (4)                      	-11.008 (3)                        	-3.685 (4)
variables_used_all                                              	       5   	-4.220 (5)                      	-2.100 (5)                      	-4.449 (5)                         	-2.219 (5)
ast_ngram_scoring_n_5_score                                     	       7   	-3.509 (9)                      	-1.424 (7)                      	-4.169 (6)                         	-1.573 (6)
preferences_used_all                                            	       7.25	-3.546 (6)                      	-1.525 (6)                      	-3.584 (10)                        	-1.560 (7)
max_depth_setup_0                                               	       7.5 	-3.527 (7)                      	-1.320 (8)                      	-3.844 (7)                         	-1.409 (8)
node_count_setup_0                                              	       8.5 	-3.517 (8)                      	-1.319 (9)                      	-3.834 (8)                         	-1.408 (9)
section_doesnt_exist_setup                                      	       9.75	-3.403 (10)                     	-1.310 (10)                     	-3.720 (9)                         	-1.402 (10)
ast_ngram_terminal_n_5_score                                    	      11.5 	-2.970 (11)                     	-0.816 (12)                     	-3.099 (11)                        	-0.805 (12)
pref_forall_pref_forall_correct_arity_correct                   	      13   	-1.620 (13)                     	-0.674 (13)                     	-1.541 (13)                        	-0.648 (13)
preferences_used_prop                                           	      14   	-1.485 (14)                     	-0.624 (14)                     	-1.408 (14)                        	-0.597 (14)
any_setup_objects_used                                          	      14.25	-1.868 (12)                     	-0.533 (15)                     	-1.889 (12)                        	-0.477 (18)
pref_forall_count_once_per_external_objects_used_correct        	      15.5 	-0.929 (15)                     	-0.530 (16)                     	-1.024 (15)                        	-0.525 (16)
