,trace_id,domain,first_state_index,?v0,?v1
0,ImigmCOsFcfkSwe0ctO2-preCreateGame-rerecorded,medium,1991,LongCylinderBlock|+00.12|+01.19|-02.89,south_wall
1,IvoZWi01FO2uiNpNHyci-preCreateGame-rerecorded,many,1268,CubeBlock|-02.97|+01.26|-01.94,west_wall
2,JNLBQW5TcsbOY86oNd2A-gameplay-attempt-1-rerecorded,medium,3588,BridgeBlock|+00.63|+01.10|-02.91,west_wall
3,JNLBQW5TcsbOY86oNd2A-preCreateGame-rerecorded,medium,6754,CylinderBlock|+01.13|+01.61|-02.89,south_wall
4,XexzCkW95vUcVYAFhSA9-gameplay-attempt-1-rerecorded,many,2721,BridgeBlock|-02.92|+00.09|-02.52,west_wall
5,ZSRiFalssazyXG8Qui4j-preCreateGame-rerecorded,many,476,CubeBlock|-02.99|+01.26|-01.49,north_wall
6,ZSRiFalssazyXG8Qui4j-preCreateGame-rerecorded,many,1333,TriangleBlock|-02.95|+01.23|-02.69,west_wall
7,ZSRiFalssazyXG8Qui4j-preCreateGame-rerecorded,many,1392,TriangleBlock|-02.94|+01.23|-02.46,west_wall
8,SQErBa5s5TPVxmm8R6ks-gameplay-attempt-1-rerecorded,few,378,CubeBlock|-00.23|+00.28|-02.83,north_wall
9,SQErBa5s5TPVxmm8R6ks-preCreateGame-rerecorded,few,942,CubeBlock|-00.23|+00.28|-02.83,north_wall
10,ShyRlIFgTWW6vqNrd3K5-preCreateGame-rerecorded,many,4808,CubeBlock|-02.99|+01.26|-01.49,south_wall
11,ShyRlIFgTWW6vqNrd3K5-preCreateGame-rerecorded,many,8002,TriangleBlock|-02.92|+01.23|-02.23,west_wall
12,ShyRlIFgTWW6vqNrd3K5-preCreateGame-rerecorded,many,8540,TriangleBlock|-02.94|+01.23|-02.46,west_wall
13,ShyRlIFgTWW6vqNrd3K5-preCreateGame-rerecorded,many,8609,CylinderBlock|-03.02|+01.62|-01.73,west_wall
14,vgtHV3viTuaAEBMr9m0t-preCreateGame-rerecorded,medium,992,LongCylinderBlock|+00.12|+01.19|-02.89,south_wall
15,zhq2iVuBVQxs15gj7Blw-preCreateGame-rerecorded,many,774,TriangleBlock|-02.94|+01.23|-02.46,south_wall
16,OkKMZ7MxTSxfxQoPDZQK-preCreateGame-rerecorded,few,762,CubeBlock|-00.02|+00.28|-02.83,north_wall
17,Q1jHN8NAIlds8F5SFBCJ-gameplay-attempt-1-rerecorded,medium,2304,CylinderBlock|+00.93|+01.61|-02.89,south_wall
18,QclKeEZEVr7j0klPuanE-gameplay-attempt-3-rerecorded,few,2153,CubeBlock|-00.02|+00.10|-02.83,south_wall
