,trace_id,domain,first_state_index,?v0,?v1
0,1El1CmicSoKZKTLe8NpP-gameplay-attempt-1-rerecorded,medium,936,KeyChain|-01.62|+00.60|+00.41,Watch|+03.07|+00.79|-00.45
1,1El1CmicSoKZKTLe8NpP-gameplay-attempt-1-rerecorded,medium,936,KeyChain|-01.62|+00.60|+00.41,CreditCard|+02.99|+00.79|-01.24
2,1aTng0m9240WEAU975WE-preCreateGame-rerecorded,few,477,Laptop|+03.04|+00.79|-02.28,Dodgeball|-02.95|+01.29|-02.61
3,hpLNbpSomVV4DZ5rNVJo-preCreateGame-rerecorded,few,2425,CubeBlock|-00.23|+00.28|-02.83,CubeBlock|-00.02|+00.28|-02.83
4,hpLNbpSomVV4DZ5rNVJo-preCreateGame-rerecorded,few,2425,CubeBlock|-00.02|+00.28|-02.83,CubeBlock|-00.23|+00.28|-02.83
5,iEqK3y2TMsJ4UTeD7EaX-editGame-rerecorded,many,120,Dodgeball|+00.44|+01.13|-02.80,PyramidBlock|-02.95|+01.61|-02.66
6,iEqK3y2TMsJ4UTeD7EaX-gameplay-attempt-2-rerecorded,many,258,TeddyBear|-02.60|+00.60|-00.42,CubeBlock|-02.97|+01.26|-01.94
7,izuuOskcJXqeevaNXXPQ-gameplay-attempt-1-rerecorded,many,431,Golfball|+00.96|+01.04|-02.70,Golfball|+01.05|+01.04|-02.70
8,izuuOskcJXqeevaNXXPQ-gameplay-attempt-1-rerecorded,many,431,Golfball|+01.05|+01.04|-02.70,Golfball|+00.96|+01.04|-02.70
9,izuuOskcJXqeevaNXXPQ-gameplay-attempt-1-rerecorded,many,501,Golfball|+01.14|+01.04|-02.70,Golfball|+00.96|+01.04|-02.70
10,izuuOskcJXqeevaNXXPQ-gameplay-attempt-1-rerecorded,many,501,Golfball|+00.96|+01.04|-02.70,Golfball|+01.14|+01.04|-02.70
11,jCc0kkmGUg3xUmUSXg5w-gameplay-attempt-1-rerecorded,few,4389,Mug|+03.14|+00.79|-00.87,Pencil|+03.07|+00.79|-01.79
12,jCc0kkmGUg3xUmUSXg5w-preCreateGame-rerecorded,few,2989,CubeBlock|-00.02|+00.10|-02.83,Pen|+03.02|+00.80|-01.85
13,jYnmaydkg4c0KmGFfgp3-editGame-rerecorded,medium,63,CylinderBlock|+00.93|+01.61|-02.89,CubeBlock|+00.70|+01.61|-02.91
14,3JgBMLuR3hhyXX7duXxU-gameplay-attempt-1-rerecorded,medium,1387,PyramidBlock|+01.13|+01.78|-02.89,CylinderBlock|+00.93|+01.61|-02.89
15,iEqK3y2TMsJ4UTeD7EaX-editGame-rerecorded,many,120,PyramidBlock|-02.95|+01.61|-02.66,Dodgeball|+00.44|+01.13|-02.80
16,ktwB7wT09sh4ivNme3Dw-createGame-rerecorded,medium,159,Pen|+03.02|+00.80|-01.85,Pencil|+03.07|+00.79|-01.79
17,39PytL3fAMFkYXNoB5l6-createGame-rerecorded,many,1960,Shelf|+00.62|+01.01|-02.82,Dodgeball|+00.44|+01.13|-02.80
