"effect","key","group"
-1.13946401252156,"(1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0)","matched"
-0.97180475561664,"(1, 0, 3, 1, 0, 0, 0, 0, 0, 0, 2, 0)","matched"
-0.931835287583588,"(1, 1, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0)","matched"
-0.782567117529283,"(1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0)","matched"
-1.82692561431398,"(1, 0, 3, 0, 0, 0, 0, 0, 2, 1, 0, 0)","real"
-1.13899365061132,"(1, 1, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0)","real"
-0.791772213640586,"(1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0)","real"
-0.574370093465232,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0)","real"
-0.881436392234378,"(1, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 1)","unmatched_top_30"
-0.760017442792483,"(1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0)","unmatched_top_30"
-0.604953190392547,"(1, 0, 4, 0, 1, 1, 0, 1, 0, 1, 0, 0)","unmatched_top_30"
-0.566999881602776,"(1, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0)","unmatched_top_30"
