game_type,game_id,node_count,full_game_id
real,"(1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0)",131,"(1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0)-real"
real,"(1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0)",200,"(1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0)-real"
real,"(1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0)",222,"(1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0)",98,"(1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0)",107,"(1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0)",53,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0)-real"
real,"(1, 0, 4, 0, 0, 2, 0, 0, 0, 0, 1, 0)",326,"(1, 0, 4, 0, 0, 2, 0, 0, 0, 0, 1, 0)-real"
real,"(1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0)",30,"(1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0)-real"
real,"(1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0)",46,"(1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0)-real"
real,"(1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0)",139,"(1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0)-real"
real,"(1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0)",56,"(1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0)",147,"(1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0)",199,"(1, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0)",153,"(1, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0)",182,"(1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0)-real"
real,"(1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",67,"(1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0)",52,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0)-real"
real,"(1, 1, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0)",100,"(1, 1, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0)-real"
real,"(1, 0, 3, 0, 0, 0, 0, 0, 2, 1, 0, 0)",319,"(1, 0, 3, 0, 0, 0, 0, 0, 2, 1, 0, 0)-real"
real,"(1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0)",247,"(1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0)-real"
real,"(1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1)",211,"(1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1)-real"
real,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",20,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0)",77,"(1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0)-real"
real,"(1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0)",308,"(1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0)-real"
real,"(1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0)",133,"(1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0)-real"
real,"(1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0)",108,"(1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0)",104,"(1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0)-real"
real,"(1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0)",157,"(1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0)-real"
real,"(1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0)",188,"(1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0)-real"
real,"(1, 0, 3, 1, 0, 0, 0, 0, 0, 0, 2, 0)",249,"(1, 0, 3, 1, 0, 0, 0, 0, 0, 0, 2, 0)-real"
matched,"(1, 0, 3, 0, 0, 0, 0, 0, 2, 1, 0, 0)",140,"(1, 0, 3, 0, 0, 0, 0, 0, 2, 1, 0, 0)-matched"
matched,"(1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0)",122,"(1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0)-matched"
matched,"(1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0)",120,"(1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0)-matched"
matched,"(1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0)",120,"(1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0)-matched"
matched,"(1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0)",102,"(1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0)-matched"
matched,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",52,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)-matched"
matched,"(1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0)",127,"(1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0)-matched"
matched,"(1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0)",174,"(1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0)-matched"
